IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0003791018;Credenciado;53;A Escola Casagrande;Centro De Formacao De Condutores Rayon Ltda.;64707805000152;R Conego Valadao;1022;Gopouva;Guarulhos;(011) 2408-4865;Pratico;Nao;Nao;Nao;5.0;4.0;4.0;5.0;4.0;4.0;4.0;1;4.3
0000160038;Bloqueado;0;A Escola Chidichino;Centro F Condutores Chidichino S/a Ltda;03732867000120;Rua Visconde Do Rio Branco;1587;Vl Padovan;Botucatu;(014) 3814-6043;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000160612;Baixada;0;A Escola Continental;Centro De Formacao De Condutores D & D Ltda Me;10326318000110;Rua Joaquim Da Costa Maciel;526;Centro;Cosmorama;(017) 3836-7452;Teorico e pratico;Nao;Sim;Sim;--;--;--;--;--;--;--;0;--
0000250038;Bloqueado;0;A Escola Formula I;Pilan & Camargo Cfc De Condutores S/c Ltda Me;03724265000120;Av Floriano Peixoto;787;Centro;Botucatu;(014) 6822-3656;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001090073;Bloqueado;0;A Escola Frei Galvao;Centro Formacao Condutores Ab Frei Galvao Ltda Me;00371968000124;Av Santa Catarina;1494;Dist. Potunduva;Jau;(014) 3629-2425;Teorico e pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0004150101;Credenciado;62;A Escola Guatapara;Centro De Form De Condutores B Guatapara Ltda Me;01783665000181;Rua Dos Alecrins;101;Centro;Guatapara;(016) 3973-0219;Teorico e pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000521907;Bloqueado;0;A Escola Instrutor;Centro De Formacao De Condutores B Instrutor Ltme;08861124000173;R Belizario Pereira De Carvalh;115;J J Carvalho;Ferraz De Vasconcelos;(011) 4679-7564;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000580017;Bloqueado;0;A Escola Locatelli;Auto Escola Locatelli De Assis Ltda Me;12712951000172;Rua Sao Paulo;197;Vila Xavier;Assis;(018) 3323-2346;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000160696;Credenciado;70;A Escola Martinelli;Auto Escola Martinelli Sc Ltda;02961358000106;R Riachuelo;325;Centro;Pederneiras;(014) 2522-975;Teorico e pratico;Nao;Nao;Sim;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2;5.0
0000070444;Baixada;100;A Escola Mogi Mirim;Auto Escola Mogi Mirim Ltda Me;00000000000000;Rua Chico Venancio;110;Centro;Mogi Mirim;(019) 3862-2798;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
